120_metros => 120_metros, tag#Zu, ctag#Zu, pos#number, lemma#LN_m:120
Aquí => Aquí, tag#RG, ctag#RG, pos#adverb, lemma#aquí
aquiescencia => aquiescencia, tag#NCFS000, ctag#NC, pos#noun, lemma#aquiescencia
arado => arado, tag#NCMS000, ctag#NC, pos#noun, lemma#arado
arados => arados, tag#NCMP000, ctag#NC, pos#noun, lemma#arado
árbol => árbol, tag#NCMS000, ctag#NC, pos#noun, lemma#árbol
arboleda => arboleda, tag#NCFS000, ctag#NC, pos#noun, lemma#arboleda
árboles => árboles, tag#NCMP000, ctag#NC, pos#noun, lemma#árbol
arbolito => arbolito, tag#NCMS00V, ctag#NC, pos#noun, lemma#árbol
arboricultura => arboricultura, tag#NCFS000, ctag#NC, pos#noun, lemma#arboricultura
arbustos => arbustos, tag#NCMP000, ctag#NC, pos#noun, lemma#arbusto
arcófago => arcófago, tag#NCMS000, ctag#NC, pos#noun, lemma#arcófago
arde => arde, tag#VMIP3S0, ctag#VMI, pos#verb, lemma#arder
ardía => ardía, tag#VMII3S0, ctag#VMI, pos#verb, lemma#arder
ardides => ardides, tag#NCMP000, ctag#NC, pos#noun, lemma#ardid
ardiente => ardiente, tag#AQ0CS00, ctag#AQ, pos#adjective, lemma#ardiente
ardientemente => ardientemente, tag#RG, ctag#RG, pos#adverb, lemma#ardientemente
ardientes => ardientes, tag#AQ0CP00, ctag#AQ, pos#adjective, lemma#ardiente
ardor => ardor, tag#NCMS000, ctag#NC, pos#noun, lemma#ardor
ardores => ardores, tag#NCMP000, ctag#NC, pos#noun, lemma#ardor
arduas => arduas, tag#AQ0FP00, ctag#AQ, pos#adjective, lemma#arduo
arduo => arduo, tag#AQ0MS00, ctag#AQ, pos#adjective, lemma#arduo
arena => arena, tag#NCFS000, ctag#NC, pos#noun, lemma#arena
argamasa => argamasa, tag#NCFS000, ctag#NC, pos#noun, lemma#argamasa
argucias => argucias, tag#NCFP000, ctag#NC, pos#noun, lemma#argucia
argumentaciones => argumentaciones, tag#NCFP000, ctag#NC, pos#noun, lemma#argumentación
argumentando => argumentando, tag#VMG0000, ctag#VMG, pos#verb, lemma#argumentar
argumente => argumente, tag#VMSP3S0, ctag#VMS, pos#verb, lemma#argumentar
argumentos => argumentos, tag#NCMP000, ctag#NC, pos#noun, lemma#argumento
áridas => áridas, tag#AQ0FP00, ctag#AQ, pos#adjective, lemma#árido
árido => árido, tag#AQ0MS00, ctag#AQ, pos#adjective, lemma#árido
arma => arma, tag#NCFS000, ctag#NC, pos#noun, lemma#arma
armaba => armaba, tag#VMII3S0, ctag#VMI, pos#verb, lemma#armar
armada => armada, tag#VMP00SF, ctag#VMP, pos#verb, lemma#armar
armado => armado, tag#VMP00SM, ctag#VMP, pos#verb, lemma#armar
armados => armados, tag#VMP00PM, ctag#VMP, pos#verb, lemma#armar
armadura => armadura, tag#NCFS000, ctag#NC, pos#noun, lemma#armadura
armamentos => armamentos, tag#NCMP000, ctag#NC, pos#noun, lemma#armamento
armas => armas, tag#NCFP000, ctag#NC, pos#noun, lemma#arma
armó => armó, tag#VMIS3S0, ctag#VMI, pos#verb, lemma#armar
armonía => armonía, tag#NCFS000, ctag#NC, pos#noun, lemma#armonía
aroma => aroma, tag#NCMS000, ctag#NC, pos#noun, lemma#aroma
arpía => arpía, tag#NCFS000, ctag#NC, pos#noun, lemma#arpía
arqueando => arqueando, tag#VMG0000, ctag#VMG, pos#verb, lemma#arquear
arqueología => arqueología, tag#NCFS000, ctag#NC, pos#noun, lemma#arqueología
arqueológica => arqueológica, tag#AQ0FS00, ctag#AQ, pos#adjective, lemma#arqueológico
arqueólogo => arqueólogo, tag#NCMS000, ctag#NC, pos#noun, lemma#arqueólogo
arquitectónica => arquitectónica, tag#AQ0FS00, ctag#AQ, pos#adjective, lemma#arquitectónico
arquitectónico => arquitectónico, tag#AQ0MS00, ctag#AQ, pos#adjective, lemma#arquitectónico
arquitectura => arquitectura, tag#NCFS000, ctag#NC, pos#noun, lemma#arquitectura
arquitrabe => arquitrabe, tag#NCMS000, ctag#NC, pos#noun, lemma#arquitrabe
arrabal => arrabal, tag#NCMS000, ctag#NC, pos#noun, lemma#arrabal
arrabales => arrabales, tag#NCMP000, ctag#NC, pos#noun, lemma#arrabal
arraigo => arraigo, tag#NCMS000, ctag#NC, pos#noun, lemma#arraigo
arranca => arranca, tag#VMIP3S0, ctag#VMI, pos#verb, lemma#arrancar
arrancan => arrancan, tag#VMIP3P0, ctag#VMI, pos#verb, lemma#arrancar
arrancaremos => arrancaremos, tag#VMIF1P0, ctag#VMI, pos#verb, lemma#arrancar
arrasarían => arrasarían, tag#VMIC3P0, ctag#VMI, pos#verb, lemma#arrasar
arrastraban => arrastraban, tag#VMII3P0, ctag#VMI, pos#verb, lemma#arrastrar
arrastrando => arrastrando, tag#VMG0000, ctag#VMG, pos#verb, lemma#arrastrar
arrastrar => arrastrar, tag#VMN0000, ctag#VMN, pos#verb, lemma#arrastrar
arrebatada => arrebatada, tag#VMP00SF, ctag#VMP, pos#verb, lemma#arrebatar
arrebatadas => arrebatadas, tag#VMP00PF, ctag#VMP, pos#verb, lemma#arrebatar
arrebatado => arrebatado, tag#VMP00SM, ctag#VMP, pos#verb, lemma#arrebatar
arrebates => arrebates, tag#VMSP2S0, ctag#VMS, pos#verb, lemma#arrebatar
arrebato => arrebato, tag#NCMS000, ctag#NC, pos#noun, lemma#arrebato
arrebatos => arrebatos, tag#NCMP000, ctag#NC, pos#noun, lemma#arrebato
arregla => arregla, tag#VMIP3S0, ctag#VMI, pos#verb, lemma#arreglar
arreglados => arreglados, tag#VMP00PM, ctag#VMP, pos#verb, lemma#arreglar
arreglar => arreglar, tag#VMN0000, ctag#VMN, pos#verb, lemma#arreglar
arreglaré => arreglaré, tag#VMIF1S0, ctag#VMI, pos#verb, lemma#arreglar
arregle => arregle, tag#VMSP3S0, ctag#VMS, pos#verb, lemma#arreglar
arreglito => arreglito, tag#NCMS00V, ctag#NC, pos#noun, lemma#arreglo
arreglo => arreglo, tag#NCMS000, ctag#NC, pos#noun, lemma#arreglo
arregló => arregló, tag#VMIS3S0, ctag#VMI, pos#verb, lemma#arreglar
arrellenaba => arrellenaba, tag#VMII3S0, ctag#VMI, pos#verb, lemma#arrellenaba
arrepentimiento => arrepentimiento, tag#NCMS000, ctag#NC, pos#noun, lemma#arrepentimiento
arrepentir => arrepentir, tag#VMN0000, ctag#VMN, pos#verb, lemma#arrepentir
arrepientes => arrepientes, tag#VMIP2S0, ctag#VMI, pos#verb, lemma#arrepentir
arrepiento => arrepiento, tag#VMIP1S0, ctag#VMI, pos#verb, lemma#arrepentir
Arriba => Arriba, tag#NP00000, ctag#NP, pos#noun, lemma#arriba
arriba => arriba, tag#RG, ctag#RG, pos#adverb, lemma#arriba
Arriba => Arriba, tag#RG, ctag#RG, pos#adverb, lemma#arriba
arriendo => arriendo, tag#VMIP1S0, ctag#VMI, pos#verb, lemma#arrendar
arriesgábase => arriesgábase, tag#NCCS000, ctag#NC, pos#noun, lemma#arriesgábase
arriesgado => arriesgado, tag#VMP00SM, ctag#VMP, pos#verb, lemma#arriesgar
arrobamiento => arrobamiento, tag#NCMS000, ctag#NC, pos#noun, lemma#arrobamiento
arrobas => arrobas, tag#NCFP000, ctag#NC, pos#noun, lemma#arroba
arrodillose => arrodillose, tag#VMSP3S0, ctag#VMS, pos#verb, lemma#arrodillose
arrogante => arrogante, tag#AQ0CS00, ctag#AQ, pos#adjective, lemma#arrogante
arroja => arroja, tag#VMIP3S0, ctag#VMI, pos#verb, lemma#arrojar
Arrojado => Arrojado, tag#VMP00SM, ctag#VMP, pos#verb, lemma#arrojar
arrojando => arrojando, tag#VMG0000, ctag#VMG, pos#verb, lemma#arrojar
Arrojando => Arrojando, tag#VMG0000, ctag#VMG, pos#verb, lemma#arrojar
arrojará => arrojará, tag#VMIF3S0, ctag#VMI, pos#verb, lemma#arrojar
arrojar => arrojar, tag#VMN0000, ctag#VMN, pos#verb, lemma#arrojar
Arrojar => Arrojar, tag#VMN0000, ctag#VMN, pos#verb, lemma#arrojar
arrojaré => arrojaré, tag#VMIF1S0, ctag#VMI, pos#verb, lemma#arrojar
arroje => arroje, tag#VMM03S0, ctag#VMM, pos#verb, lemma#arrojar
arrojó => arrojó, tag#VMIS3S0, ctag#VMI, pos#verb, lemma#arrojar
arropó => arropó, tag#VMIS3S0, ctag#VMI, pos#verb, lemma#arropar
arroyo => arroyo, tag#NCMS000, ctag#NC, pos#noun, lemma#arroyo
arroyos => arroyos, tag#NCMP000, ctag#NC, pos#noun, lemma#arroyo
arrugando => arrugando, tag#VMG0000, ctag#VMG, pos#verb, lemma#arrugar
arrugas => arrugas, tag#NCFP000, ctag#NC, pos#noun, lemma#arruga
arruinada => arruinada, tag#VMP00SF, ctag#VMP, pos#verb, lemma#arruinar
arsenal => arsenal, tag#NCMS000, ctag#NC, pos#noun, lemma#arsenal
arte => arte, tag#NCCS000, ctag#NC, pos#noun, lemma#arte
artes => artes, tag#NCCP000, ctag#NC, pos#noun, lemma#arte
articularon => articularon, tag#VMIS3P0, ctag#VMI, pos#verb, lemma#articular
artífices => artífices, tag#NCCP000, ctag#NC, pos#noun, lemma#artífice
artificios => artificios, tag#NCMP000, ctag#NC, pos#noun, lemma#artificio
artillería => artillería, tag#NCFS000, ctag#NC, pos#noun, lemma#artillería
artimañas => artimañas, tag#NCFP000, ctag#NC, pos#noun, lemma#artimaña
artista => artista, tag#AQ0CS00, ctag#AQ, pos#adjective, lemma#artista
artista => artista, tag#NCCS000, ctag#NC, pos#noun, lemma#artista
Artista => Artista, tag#NCCS000, ctag#NC, pos#noun, lemma#artista
artistas => artistas, tag#NCCP000, ctag#NC, pos#noun, lemma#artista
artísticamente => artísticamente, tag#RG, ctag#RG, pos#adverb, lemma#artísticamente
artísticas => artísticas, tag#AQ0FP00, ctag#AQ, pos#adjective, lemma#artístico
artístico => artístico, tag#AQ0MS00, ctag#AQ, pos#adjective, lemma#artístico
asa => asa, tag#NCFS000, ctag#NC, pos#noun, lemma#asa
asaltada => asaltada, tag#VMP00SF, ctag#VMP, pos#verb, lemma#asaltar
asaltado => asaltado, tag#VMP00SM, ctag#VMP, pos#verb, lemma#asaltar
asaltan => asaltan, tag#VMIP3P0, ctag#VMI, pos#verb, lemma#asaltar
asaltar => asaltar, tag#VMN0000, ctag#VMN, pos#verb, lemma#asaltar
asalto => asalto, tag#NCMS000, ctag#NC, pos#noun, lemma#asalto
a_sangre_y_fuego => a_sangre_y_fuego, tag#RG, ctag#RG, pos#adverb, lemma#a_sangre_y_fuego
ascendiente => ascendiente, tag#NCCS000, ctag#NC, pos#noun, lemma#ascendiente
asegura => asegura, tag#VMIP3S0, ctag#VMI, pos#verb, lemma#asegurar
asegurado => asegurado, tag#VMP00SM, ctag#VMP, pos#verb, lemma#asegurar
aseguran => aseguran, tag#VMIP3P0, ctag#VMI, pos#verb, lemma#asegurar
Aseguran => Aseguran, tag#VMIP3P0, ctag#VMI, pos#verb, lemma#asegurar
asegurando => asegurando, tag#VMG0000, ctag#VMG, pos#verb, lemma#asegurar
asegurar => asegurar, tag#VMN0000, ctag#VMN, pos#verb, lemma#asegurar
aseguro => aseguro, tag#VMIP1S0, ctag#VMI, pos#verb, lemma#asegurar
asemejando => asemejando, tag#VMG0000, ctag#VMG, pos#verb, lemma#asemejar
asentado => asentado, tag#VMP00SM, ctag#VMP, pos#verb, lemma#asentar
aseo => aseo, tag#NCMS000, ctag#NC, pos#noun, lemma#aseo
asesinadas => asesinadas, tag#VMP00PF, ctag#VMP, pos#verb, lemma#asesinar
asesinado => asesinado, tag#VMP00SM, ctag#VMP, pos#verb, lemma#asesinar
asesinaron => asesinaron, tag#VMIS3P0, ctag#VMI, pos#verb, lemma#asesinar
asesinos => asesinos, tag#NCMP000, ctag#NC, pos#noun, lemma#asesino
asestó => asestó, tag#VMIS3S0, ctag#VMI, pos#verb, lemma#asestar
así => así, tag#RG, ctag#RG, pos#adverb, lemma#así
Así => Así, tag#RG, ctag#RG, pos#adverb, lemma#así
así_como => así_como, tag#CC, ctag#CC, pos#conjunction, lemma#así_como
Así_como => Así_como, tag#CC, ctag#CC, pos#conjunction, lemma#así_como
así_como_también => así_como_también, tag#RG, ctag#RG, pos#adverb, lemma#así_como_también
asiento => asiento, tag#NCMS000, ctag#NC, pos#noun, lemma#asiento
asilo => asilo, tag#NCMS000, ctag#NC, pos#noun, lemma#asilo
asimismo => asimismo, tag#RG, ctag#RG, pos#adverb, lemma#asimismo
asistencia => asistencia, tag#NCFS000, ctag#NC, pos#noun, lemma#asistencia
asolado => asolado, tag#VMP00SM, ctag#VMP, pos#verb, lemma#asolar
asoladora => asoladora, tag#AQ0FS00, ctag#AQ, pos#adjective, lemma#asolador
asolaron => asolaron, tag#VMIS3P0, ctag#VMI, pos#verb, lemma#asolar
a_solas => a_solas, tag#RG, ctag#RG, pos#adverb, lemma#a_solas
Asoma => Asoma, tag#VMM02S0, ctag#VMM, pos#verb, lemma#asomar
asomaba => asomaba, tag#VMII3S0, ctag#VMI, pos#verb, lemma#asomar
asomaban => asomaban, tag#VMII3P0, ctag#VMI, pos#verb, lemma#asomar
asomando => asomando, tag#VMG0000, ctag#VMG, pos#verb, lemma#asomar
asomaré => asomaré, tag#VMIF1S0, ctag#VMI, pos#verb, lemma#asomar
asombra => asombra, tag#VMIP3S0, ctag#VMI, pos#verb, lemma#asombrar
Asombra => Asombra, tag#VMM02S0, ctag#VMM, pos#verb, lemma#asombrar
asombrado => asombrado, tag#VMP00SM, ctag#VMP, pos#verb, lemma#asombrar
asombran => asombran, tag#VMIP3P0, ctag#VMI, pos#verb, lemma#asombrar
asombro => asombro, tag#NCMS000, ctag#NC, pos#noun, lemma#asombro
asombro => asombro, tag#VMIP1S0, ctag#VMI, pos#verb, lemma#asombrar
asombró => asombró, tag#VMIS3S0, ctag#VMI, pos#verb, lemma#asombrar
asombroso => asombroso, tag#AQ0MS00, ctag#AQ, pos#adjective, lemma#asombroso
asomé => asomé, tag#VMIS1S0, ctag#VMI, pos#verb, lemma#asomar
asomó => asomó, tag#VMIS3S0, ctag#VMI, pos#verb, lemma#asomar
aspas => aspas, tag#NCFP000, ctag#NC, pos#noun, lemma#aspa
aspecto => aspecto, tag#NCMS000, ctag#NC, pos#noun, lemma#aspecto
aspectos => aspectos, tag#NCMP000, ctag#NC, pos#noun, lemma#aspecto
áspera => áspera, tag#AQ0FS00, ctag#AQ, pos#adjective, lemma#áspero
ásperamente => ásperamente, tag#RG, ctag#RG, pos#adverb, lemma#ásperamente
áspero => áspero, tag#AQ0MS00, ctag#AQ, pos#adjective, lemma#áspero
aspiraciones => aspiraciones, tag#NCFP000, ctag#NC, pos#noun, lemma#aspiración
aspirando => aspirando, tag#VMG0000, ctag#VMG, pos#verb, lemma#aspirar
aspirar => aspirar, tag#VMN0000, ctag#VMN, pos#verb, lemma#aspirar
astronomía => astronomía, tag#NCFS000, ctag#NC, pos#noun, lemma#astronomía
astros => astros, tag#NCMP000, ctag#NC, pos#noun, lemma#astro
astucia => astucia, tag#NCFS000, ctag#NC, pos#noun, lemma#astucia
astuto => astuto, tag#AQ0MS00, ctag#AQ, pos#adjective, lemma#astuto
a_su_imagen_y_semejanza => a_su_imagen_y_semejanza, tag#RG, ctag#RG, pos#adverb, lemma#a_su_imagen_y_semejanza
asuntillo => asuntillo, tag#NCMS00V, ctag#NC, pos#noun, lemma#asunto
asunto => asunto, tag#NCMS000, ctag#NC, pos#noun, lemma#asunto
asuntos => asuntos, tag#NCMP000, ctag#NC, pos#noun, lemma#asunto
asusta => asusta, tag#VMIP3S0, ctag#VMI, pos#verb, lemma#asustar
asustada => asustada, tag#VMP00SF, ctag#VMP, pos#verb, lemma#asustar
asustado => asustado, tag#VMP00SM, ctag#VMP, pos#verb, lemma#asustar
asustar => asustar, tag#VMN0000, ctag#VMN, pos#verb, lemma#asustar
asuste => asuste, tag#VMSP3S0, ctag#VMS, pos#verb, lemma#asustar
asusto => asusto, tag#VMIP1S0, ctag#VMI, pos#verb, lemma#asustar
atacaban => atacaban, tag#VMII3P0, ctag#VMI, pos#verb, lemma#atacar
atacada => atacada, tag#VMP00SF, ctag#VMP, pos#verb, lemma#atacar
atacado => atacado, tag#VMP00SM, ctag#VMP, pos#verb, lemma#atacar
atacan => atacan, tag#VMIP3P0, ctag#VMI, pos#verb, lemma#atacar
atacando => atacando, tag#VMG0000, ctag#VMG, pos#verb, lemma#atacar
atacar => atacar, tag#VMN0000, ctag#VMN, pos#verb, lemma#atacar
ataja => ataja, tag#VMIP3S0, ctag#VMI, pos#verb, lemma#atajar
atajando => atajando, tag#VMG0000, ctag#VMG, pos#verb, lemma#atajar
atando => atando, tag#VMG0000, ctag#VMG, pos#verb, lemma#atar
ataque => ataque, tag#NCMS000, ctag#NC, pos#noun, lemma#ataque
atareado => atareado, tag#VMP00SM, ctag#VMP, pos#verb, lemma#atarear
Ate => Ate, tag#VMM03S0, ctag#VMM, pos#verb, lemma#atar
ateísmo => ateísmo, tag#NCMS000, ctag#NC, pos#noun, lemma#ateísmo
atención => atención, tag#NCFS000, ctag#NC, pos#noun, lemma#atención
atendía => atendía, tag#VMII3S0, ctag#VMI, pos#verb, lemma#atender
atendiendo => atendiendo, tag#VMG0000, ctag#VMG, pos#verb, lemma#atender
Ateneo => Ateneo, tag#NP00000, ctag#NP, pos#noun, lemma#ateneo
ateneos => ateneos, tag#NCMP000, ctag#NC, pos#noun, lemma#ateneo
Ateneos => Ateneos, tag#NP00000, ctag#NP, pos#noun, lemma#ateneos
atener => atener, tag#VMN0000, ctag#VMN, pos#verb, lemma#atener
atenga => atenga, tag#VMM03S0, ctag#VMM, pos#verb, lemma#atener
atentado => atentado, tag#NCMS000, ctag#NC, pos#noun, lemma#atentado
atentamente => atentamente, tag#RG, ctag#RG, pos#adverb, lemma#atentamente
atentos => atentos, tag#AQ0MP00, ctag#AQ, pos#adjective, lemma#atento
atenuación => atenuación, tag#NCFS000, ctag#NC, pos#noun, lemma#atenuación
atenuar => atenuar, tag#VMN0000, ctag#VMN, pos#verb, lemma#atenuar
ateo => ateo, tag#AQ0MS00, ctag#AQ, pos#adjective, lemma#ateo
ateo => ateo, tag#NCMS000, ctag#NC, pos#noun, lemma#ateo
ateos => ateos, tag#AQ0MP00, ctag#AQ, pos#adjective, lemma#ateo
ateos => ateos, tag#NCMP000, ctag#NC, pos#noun, lemma#ateo
aterrada => aterrada, tag#VMP00SF, ctag#VMP, pos#verb, lemma#aterrar
aterradora => aterradora, tag#AQ0FS00, ctag#AQ, pos#adjective, lemma#aterrador
aterre => aterre, tag#VMSP3S0, ctag#VMS, pos#verb, lemma#aterrar
ático => ático, tag#AQ0MS00, ctag#AQ, pos#adjective, lemma#ático
atienda => atienda, tag#VMM03S0, ctag#VMM, pos#verb, lemma#atender
Atienda => Atienda, tag#VMSP3S0, ctag#VMS, pos#verb, lemma#atender
atisbaba => atisbaba, tag#VMII3S0, ctag#VMI, pos#verb, lemma#atisbar
atisbando => atisbando, tag#VMG0000, ctag#VMG, pos#verb, lemma#atisbar
atisbó => atisbó, tag#VMIS3S0, ctag#VMI, pos#verb, lemma#atisbar
atmósfera => atmósfera, tag#NCFS000, ctag#NC, pos#noun, lemma#atmósfera
a_toda_prisa => a_toda_prisa, tag#RG, ctag#RG, pos#adverb, lemma#a_toda_prisa
a_todas_horas => a_todas_horas, tag#RG, ctag#RG, pos#adverb, lemma#a_todas_horas
atónita => atónita, tag#AQ0FS00, ctag#AQ, pos#adjective, lemma#atónito
atormentada => atormentada, tag#VMP00SF, ctag#VMP, pos#verb, lemma#atormentar
atormentando => atormentando, tag#VMG0000, ctag#VMG, pos#verb, lemma#atormentar
atracar => atracar, tag#VMN0000, ctag#VMN, pos#verb, lemma#atracar
atracción => atracción, tag#NCFS000, ctag#NC, pos#noun, lemma#atracción
atracones => atracones, tag#NCMP000, ctag#NC, pos#noun, lemma#atracón
atractivo => atractivo, tag#NCMS000, ctag#NC, pos#noun, lemma#atractivo
atractivos => atractivos, tag#NCMP000, ctag#NC, pos#noun, lemma#atractivo
a_traición => a_traición, tag#RG, ctag#RG, pos#adverb, lemma#a_traición
atrajo => atrajo, tag#VMIS3S0, ctag#VMI, pos#verb, lemma#atraer
atrás => atrás, tag#RG, ctag#RG, pos#adverb, lemma#atrás
Atrás => Atrás, tag#RG, ctag#RG, pos#adverb, lemma#atrás
atravesando => atravesando, tag#VMG0000, ctag#VMG, pos#verb, lemma#atravesar
atravesaste => atravesaste, tag#VMIS2S0, ctag#VMI, pos#verb, lemma#atravesar
atreva => atreva, tag#VMSP3S0, ctag#VMS, pos#verb, lemma#atrever
atreve => atreve, tag#VMIP3S0, ctag#VMI, pos#verb, lemma#atrever
atreven => atreven, tag#VMIP3P0, ctag#VMI, pos#verb, lemma#atrever
atreverá => atreverá, tag#VMIF3S0, ctag#VMI, pos#verb, lemma#atrever
atrever => atrever, tag#VMN0000, ctag#VMN, pos#verb, lemma#atrever
atrevía => atrevía, tag#VMII3S0, ctag#VMI, pos#verb, lemma#atrever
atrevido => atrevido, tag#NCMS000, ctag#NC, pos#noun, lemma#atrevido
atrevimiento => atrevimiento, tag#NCMS000, ctag#NC, pos#noun, lemma#atrevimiento
atrevió => atrevió, tag#VMIS3S0, ctag#VMI, pos#verb, lemma#atrever
atrevo => atrevo, tag#VMIP1S0, ctag#VMI, pos#verb, lemma#atrever
atribuir => atribuir, tag#VMN0000, ctag#VMN, pos#verb, lemma#atribuir
atribuye => atribuye, tag#VMIP3S0, ctag#VMI, pos#verb, lemma#atribuir
atribuyen => atribuyen, tag#VMIP3P0, ctag#VMI, pos#verb, lemma#atribuir
atribuyendo => atribuyendo, tag#VMG0000, ctag#VMG, pos#verb, lemma#atribuir
atribuyes => atribuyes, tag#VMIP2S0, ctag#VMI, pos#verb, lemma#atribuir
atroces => atroces, tag#AQ0CP00, ctag#AQ, pos#adjective, lemma#atroz
atrocidad => atrocidad, tag#NCFS000, ctag#NC, pos#noun, lemma#atrocidad
atrocidades => atrocidades, tag#NCFP000, ctag#NC, pos#noun, lemma#atrocidad
atronadora => atronadora, tag#AQ0FS00, ctag#AQ, pos#adjective, lemma#atronador
atropellada => atropellada, tag#VMP00SF, ctag#VMP, pos#verb, lemma#atropellar
atropellando => atropellando, tag#VMG0000, ctag#VMG, pos#verb, lemma#atropellar
atropellarán => atropellarán, tag#VMIF3P0, ctag#VMI, pos#verb, lemma#atropellar
atropellarás => atropellarás, tag#VMIF2S0, ctag#VMI, pos#verb, lemma#atropellar
atropellaras => atropellaras, tag#VMSI2S0, ctag#VMS, pos#verb, lemma#atropellar
atropellar => atropellar, tag#VMN0000, ctag#VMN, pos#verb, lemma#atropellar
atropellaré => atropellaré, tag#VMIF1S0, ctag#VMI, pos#verb, lemma#atropellar
atropellas => atropellas, tag#VMIP2S0, ctag#VMI, pos#verb, lemma#atropellar
atropello => atropello, tag#NCMS000, ctag#NC, pos#noun, lemma#atropello
atropellos => atropellos, tag#NCMP000, ctag#NC, pos#noun, lemma#atropello
atroz => atroz, tag#AQ0CS00, ctag#AQ, pos#adjective, lemma#atroz
atrozmente => atrozmente, tag#RG, ctag#RG, pos#adverb, lemma#atrozmente
aturdida => aturdida, tag#VMP00SF, ctag#VMP, pos#verb, lemma#aturdir
aturdido => aturdido, tag#VMP00SM, ctag#VMP, pos#verb, lemma#aturdir
aturdió => aturdió, tag#VMIS3S0, ctag#VMI, pos#verb, lemma#aturdir
audaces => audaces, tag#AQ0CP00, ctag#AQ, pos#adjective, lemma#audaz
audacia => audacia, tag#NCFS000, ctag#NC, pos#noun, lemma#audacia
auge => auge, tag#NCMS000, ctag#NC, pos#noun, lemma#auge
augurando => augurando, tag#VMG0000, ctag#VMG, pos#verb, lemma#augurar
augusta => augusta, tag#AQ0FS00, ctag#AQ, pos#adjective, lemma#augusto
Augusta => Augusta, tag#NP00000, ctag#NP, pos#noun, lemma#augusta
augustas => augustas, tag#AQ0FP00, ctag#AQ, pos#adjective, lemma#augusto
augustiana => augustiana, tag#AQ0FS00, ctag#AQ, pos#adjective, lemma#augustiana
augustísima => augustísima, tag#AQSFS00, ctag#AQ, pos#adjective, lemma#augusto
Augusto_Nicolás => Augusto_Nicolás, tag#NP00000, ctag#NP, pos#noun, lemma#augusto_nicolás
aula => aula, tag#NCFS000, ctag#NC, pos#noun, lemma#aula
áulico => áulico, tag#AQ0MS00, ctag#AQ, pos#adjective, lemma#áulico
aullado => aullado, tag#VMP00SM, ctag#VMP, pos#verb, lemma#aullar
aullido => aullido, tag#NCMS000, ctag#NC, pos#noun, lemma#aullido
aumenta => aumenta, tag#VMIP3S0, ctag#VMI, pos#verb, lemma#aumentar
aumentaban => aumentaban, tag#VMII3P0, ctag#VMI, pos#verb, lemma#aumentar
aumentando => aumentando, tag#VMG0000, ctag#VMG, pos#verb, lemma#aumentar
aumentaron => aumentaron, tag#VMIS3P0, ctag#VMI, pos#verb, lemma#aumentar
aumentó => aumentó, tag#VMIS3S0, ctag#VMI, pos#verb, lemma#aumentar
aun => aun, tag#RG, ctag#RG, pos#adverb, lemma#aun
Aun => Aun, tag#RG, ctag#RG, pos#adverb, lemma#aun
aún => aún, tag#RG, ctag#RG, pos#adverb, lemma#aun
a_un_lado_y_otro => a_un_lado_y_otro, tag#RG, ctag#RG, pos#adverb, lemma#a_un_lado_y_otro
aunque => aunque, tag#CC, ctag#CC, pos#conjunction, lemma#aunque
Aunque => Aunque, tag#CC, ctag#CC, pos#conjunction, lemma#aunque
aureola => aureola, tag#NCFS000, ctag#NC, pos#noun, lemma#aureola
aurora => aurora, tag#NCFS000, ctag#NC, pos#noun, lemma#aurora
ausencia => ausencia, tag#NCFS000, ctag#NC, pos#noun, lemma#ausencia
austeras => austeras, tag#AQ0FP00, ctag#AQ, pos#adjective, lemma#austero
autora => autora, tag#NCFS000, ctag#NC, pos#noun, lemma#autor
autor => autor, tag#NCMS000, ctag#NC, pos#noun, lemma#autor
autores => autores, tag#NCMP000, ctag#NC, pos#noun, lemma#autor
autoridad => autoridad, tag#NCFS000, ctag#NC, pos#noun, lemma#autoridad
autoridades => autoridades, tag#NCFP000, ctag#NC, pos#noun, lemma#autoridad
autorizado => autorizado, tag#VMP00SM, ctag#VMP, pos#verb, lemma#autorizar
autorizados => autorizados, tag#VMP00PM, ctag#VMP, pos#verb, lemma#autorizar
auxilio => auxilio, tag#NCMS000, ctag#NC, pos#noun, lemma#auxilio
avanzada => avanzada, tag#VMP00SF, ctag#VMP, pos#verb, lemma#avanzar
avanzado => avanzado, tag#VMP00SM, ctag#VMP, pos#verb, lemma#avanzar
avanzando => avanzando, tag#VMG0000, ctag#VMG, pos#verb, lemma#avanzar
avanzó => avanzó, tag#VMIS3S0, ctag#VMI, pos#verb, lemma#avanzar
avaricia => avaricia, tag#NCFS000, ctag#NC, pos#noun, lemma#avaricia
avaro => avaro, tag#AQ0MS00, ctag#AQ, pos#adjective, lemma#avaro
ave => ave, tag#NCFS000, ctag#NC, pos#noun, lemma#ave
avecilla => avecilla, tag#NCFS00V, ctag#NC, pos#noun, lemma#av
avellanado => avellanado, tag#VMP00SM, ctag#VMP, pos#verb, lemma#avellanar
Ave-María => Ave-María, tag#NP00000, ctag#NP, pos#noun, lemma#ave-maría
Ave_María_Purísima => Ave_María_Purísima, tag#NP00000, ctag#NP, pos#noun, lemma#ave_maría_purísima
aventado => aventado, tag#VMP00SM, ctag#VMP, pos#verb, lemma#aventar
aventura => aventura, tag#NCFS000, ctag#NC, pos#noun, lemma#aventura
aventurado => aventurado, tag#VMP00SM, ctag#VMP, pos#verb, lemma#aventurar
